Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),NPHI,Gamma
11204,9847.65,712.9991036,1164.655413,363277.0803,199802.3942,290239.1987,13565.04269,2.557065069,0.001881366,0.100973503,9.88183776,11.9955501,,
11205,9847.69,713.0019997,1171.026565,370661.8011,203863.9906,296887.6886,13890.36359,2.557111244,0.001851767,0.097000593,9.483338556,11.4904452,,
11206,9847.74,713.0056198,1161.612764,333435.118,183389.3149,266073.2381,12429.32333,2.55685998,0.002012834,0.119801462,11.57921503,14.16821604,,
11207,9847.77,713.0077919,1161.85487,334331.54,183882.347,266814.1437,12464.43422,2.556866616,0.00200858,0.119161598,11.52604993,14.09963781,,
11208,9847.81,713.0106881,1155.539497,342580.7536,188419.4145,272705.1695,12726.27173,2.556926224,0.001970369,0.11350672,11.04339108,13.47861628,,
11209,9847.85,713.0135842,1153.772878,362950.4119,199622.7266,288713.862,13469.37613,2.557062988,0.0018827,0.101154859,9.899652238,12.01817414,,
11210,9847.89,713.0164803,1171.250988,333473.3712,183410.3542,267123.1338,12498.24274,2.556860263,0.002012652,0.119774051,11.57694338,14.16528512,,
11211,9847.93,713.0193764,1184.980125,371633.9614,204398.6788,299293.3959,14034.90105,2.5571172,0.001847949,0.096495116,9.431470524,11.42483942,,
11212,9847.97,713.0222725,1043.321816,364506.4256,200478.5341,276231.2202,12639.66589,2.557072872,0.001876364,0.100295367,9.814940136,11.91062499,,
11213,9848.01,713.0251687,1078.065199,346602.6725,190631.4699,266942.1489,12291.92931,2.556954365,0.00195233,0.110894684,10.81226869,13.18223339,,
11214,9848.05,713.0280648,1138.711487,318071.8218,174939.502,251462.3616,11701.82877,2.556741066,0.00208906,0.131620973,12.51329593,15.3787166,,
11215,9848.09,713.0309609,1166.656731,324444.4186,178444.4303,259416.9843,12128.50064,2.556791612,0.002056659,0.126514656,12.12048353,14.8683611,,
11216,9848.13,713.033857,1187.97379,358193.1183,197006.2151,288801.5704,13549.48602,2.557032293,0.001902376,0.10385234,10.1609184,12.35040976,,
11217,9848.17,713.0367531,1180.578712,323767.0431,178071.8737,260296.5301,12197.45812,2.556786324,0.002060049,0.127043174,12.16186935,14.92204187,,
11218,9848.21,713.0396492,1169.174732,314239.995,172831.9973,251507.8289,11763.60829,2.556709792,0.002109108,0.134841782,12.75329995,15.69147145,,
11219,9848.26,713.0432694,1169.448278,319819.2076,175900.5642,256000.5929,11974.28485,2.556755105,0.002080061,0.130190441,12.40480786,15.23757589,,
11220,9848.3,713.0461655,1157.784369,353019.5314,194160.7423,281264.7107,13130.62528,2.556998074,0.001924312,0.106910308,10.44901528,12.71770597,,
11221,9848.33,713.0483376,1122.256272,425568.0386,234062.4212,334141.5844,15505.78381,2.557409176,0.001660784,0.073639721,6.747996413,8.073321317,,
11222,9848.38,713.0519577,1126.468739,327785.3586,180281.9472,257822.4178,11972.84207,2.556817409,0.002040123,0.123955583,11.91761697,14.60552951,,
11223,9848.42,713.0548539,1134.88933,329010.3392,180955.6866,259696.4223,12077.17844,2.55682675,0.002034135,0.12303672,11.84375208,14.50995572,,
11224,9848.46,713.05775,1173.80157,330116.0861,181563.8474,264695.3781,12389.84189,2.556835129,0.002028764,0.122216049,11.77731263,14.4240465,,
11225,9848.5,713.0606461,1159.648343,336386.5929,185012.6261,268211.5717,12525.12961,2.55688171,0.001998904,0.11771393,11.40470464,13.94324162,,
11226,9848.54,713.0635422,1170.698214,332399.0577,182819.4817,277907.3281,13001.63492,2.555693271,0.002760724,0.26655982,11.64084017,14.24774989,,
11227,9848.58,713.0664383,1169.361477,354860.5563,195173.306,284037.227,13285.49283,2.557010353,0.00191644,0.105806816,10.34601472,12.58627636,,
11228,9848.62,713.0693345,1172.413538,346700.4507,190685.2479,277840.0093,13002.15148,2.556955042,0.001951896,0.11083231,10.80668325,13.17507877,,
11229,9848.66,713.0722306,1167.617748,336743.026,185208.6643,269348.8963,12594.84371,2.556884311,0.001997237,0.117465532,11.38373369,13.91623124,,
11230,9848.7,713.0751267,1180.337162,363418.6403,199880.2521,292143.0356,13689.24129,2.55706597,0.001880788,0.100895065,9.874122931,11.98575359,,
11231,9848.74,713.0780228,1177.480841,331088.1327,182098.473,265856.201,12451.68071,2.556842453,0.002024069,0.121501376,11.7190902,14.34880642,,
11232,9848.78,713.0809189,1169.655881,354892.1287,195190.6708,284093.9522,13288.79036,2.557010563,0.001916306,0.105788041,10.34425299,12.58402948,,
11233,9848.82,713.0838151,1189.053466,338422.3318,186132.2825,272969.3591,12808.93897,2.5568965,0.001989423,0.116305746,11.28522849,13.78942867,,
11234,9848.86,713.0867112,1176.589776,363897.6807,200143.7244,292098.5639,13678.77734,2.557069014,0.001878837,0.100630308,9.84803813,11.95263556,,
11235,9848.9,713.0896073,1177.62239,349924.9675,192458.7321,280996.0421,13161.07726,2.556977174,0.001937709,0.108804482,10.62336443,12.94046595,,
11236,9848.94,713.0925034,1179.064892,324725.8546,178599.22,260907.5218,12223.06812,2.556793804,0.002055254,0.126296038,12.10331395,14.84609691,,
