Hole Depth (ft),True Vertical Depth (ft),Rate Of Penetration (ft/hr),Rotary RPM (rpm),Rotary Torque (ft-klbf),Weight on Bit (klb),Differential Pressure (psi),Inclination (deg),Gamma (API),Bit Size (In),Mud Weight (Lb/galUS)
8631,8630.17,6,11.9,1.4,12,8.85,2.2,70,12.25,9.4
8632,8630.89,3.5,8,3.1,12.3,97.41,2.2,75,12.25,9.4
8633,8632.13,20.8,12.2,6.8,13.9,35.05,2.2,73,12.25,9.4
8634,8633.11,40.4,45.1,7,4.1,237.08,2.2,75,12.25,9.4
8635,8634.11,72.1,45,7.7,4.8,246.84,2.2,70,12.25,9.4
8636,8635.21,62.3,45,7.8,2.7,235.98,2.2,78,12.25,9.4
8637,8636.1,52,44.9,8.2,2.2,228.43,2.2,74,12.25,9.4
8638,8637.11,71.9,44.9,8.6,3.2,242.07,2.2,70,12.25,9.4
8639,8638.11,72.1,45,7.9,4.3,268.64,2.2,72,12.25,9.4
8640,8639.11,74.8,45.1,7.2,3.4,241.95,2.2,76,12.25,9.4
8641,8640.11,75.2,45,7,3.6,233.19,2.1,79,12.25,9.4
8642,8641.11,75,45,7.3,3.8,229.32,2.2,100,12.25,9.4
8643,8642.12,74.7,45.1,7.7,4.8,263.42,2.2,92,12.25,9.4
8644,8643.08,70.7,45,7.6,11.4,229.14,2.2,78,12.25,9.4
8645,8644.1,73.2,44.9,8.1,13,272.12,2.2,74,12.25,9.4
8646,8645.09,73.7,44.9,7.9,10.2,232.24,2.2,67,12.25,9.4
8647,8646.09,74.6,45,7,9.2,197.11,2.2,72,12.25,9.4
8648,8647.1,74.9,45,7.6,10.3,214.12,2.2,75,12.25,9.4
8649,8648.1,74.7,44.9,7.9,11.3,230.99,2.2,77,12.25,9.4
8650,8649.07,74.7,45,7.8,11.4,231.22,2.2,70,12.25,9.4
8651,8650.08,73.8,45.1,8.4,12.3,274.1,2.2,70,12.25,9.4
8652,8651.1,74.3,45.1,7.7,11.5,270.26,2.2,70,12.25,9.4
8653,8652.11,74.4,45,8.1,12.2,264.19,2.2,69,12.25,9.4
8654,8653.06,54,45.1,7.4,17.7,226.94,2.1,63,12.25,9.4
8655,8654.08,42.9,45,7.5,18,218.47,2.2,37,12.25,9.4
8656,8655.08,56.3,45,7.6,15.1,244.42,2.2,40,12.25,9.4
8657,8656.12,71.3,45,8.7,17.5,301.39,2.2,45,12.25,9.4
8658,8657.12,60.8,45.1,8.7,17.2,308.56,2.2,40,12.25,9.4
8659,8658.13,60.2,45,8.9,17.3,299.5,2.1,47,12.25,9.4
8660,8659.34,51.3,4.4,4.9,18.7,176.74,2.2,39,12.25,9.4
8661,8660.07,15.8,9.5,5.6,14.1,217.45,2.2,42,12.25,9.4
8662,8661.14,20,9.4,5.4,17.7,234.72,2.2,52,12.25,9.4
8663,8662.15,17.1,13.4,5.3,17.7,265.45,2.2,41,12.25,9.4
8664,8663.15,16.8,13.7,4.1,17,184.68,2.2,47,12.25,9.4
8665,8664.1,15.3,14,2.8,23.2,122.96,2.2,42,12.25,9.4
8666,8665.01,13.9,20.3,2.7,31.1,84.35,2.2,39,12.25,9.4
8667,8666.09,51.9,45,9.3,15.9,346.97,2.2,47,12.25,9.4
8668,8667.07,72.7,45,9.9,17.9,388.07,2.2,39,12.25,9.4
8669,8668.11,68,45,9.5,17.8,392.71,2.2,39,12.25,9.4
8670,8669.07,61.6,45,10,17.1,388.62,2.2,39,12.25,9.4
8671,8670.08,72.8,45,10.3,17.2,371.16,2.2,39,12.25,9.4
8672,8671.07,74.6,45.1,9.8,15.9,378.4,2.2,43,12.25,9.4
8673,8672.07,74.6,44.9,10.7,16.5,422.39,2.2,39,12.25,9.4
8674,8673.03,76.9,45,9.7,16,363.3,2.2,39,12.25,9.4
8675,8674.02,88.8,45,11.7,17.8,439.71,2.2,51,12.25,9.4
8676,8675.1,119.7,45,11.6,17.7,489.29,2.2,55,12.25,9.4
8677,8676.08,95.5,44.9,10.7,18.2,421.06,2.2,62,12.25,9.4
8678,8677.1,64.1,44.9,9.5,18,353.5,2.2,51,12.25,9.4
8679,8678.11,50.7,45,8.8,18.1,301.69,2.4,47,12.25,9.4
8680,8679.21,42.4,19.1,4.7,18.4,181.27,2.5,39,12.25,9.4
8681,8680.08,17.2,9.4,4.9,19.7,192.15,2.5,39,12.25,9.4
8682,8681.14,12.7,7.8,4.5,20,192.03,2.5,47,12.25,9.4
8683,8682.56,8.9,17,4.4,18.5,113.6,2.5,47,12.25,9.4
8684,8683.06,10.2,13.1,3.7,26.4,105.46,2.6,47,12.25,9.4
8685,8683.88,9.2,22.5,4.6,31.8,71.59,2.5,47,12.25,9.4
8686,8685.04,29.8,43.2,10.9,16,174.37,2.5,47,12.25,9.4
8687,8685.9,26.1,39,8.1,13,109.14,2.5,55,12.25,9.4
8688,8687.13,35.9,9.4,4,13,140.88,2.5,66,12.25,9.4
8689,8688.01,18.7,9.3,4.1,18.5,172.34,2.5,86,12.25,9.4
8690,8688.99,13.2,9.6,3.8,18.1,193.11,2.5,47,12.25,9.4
8691,8690.55,14.3,12.3,2.5,20,141.97,2.5,62,12.25,9.4
8692,8690.9,14.8,14.2,5.3,21.6,135.83,2.5,61,12.25,9.4
8693,8692.55,15.8,12.2,3.3,16.3,143.03,2.5,60,12.25,9.4
8694,8693.55,17.2,12.4,2,17.1,186.41,2.5,61,12.25,9.4
8695,8694.55,17.4,12.8,4.3,15,131.52,2.5,59,12.25,9.4
8696,8695.04,19.2,9.4,3,17.7,166.41,2.5,62,12.25,9.4
8697,8696.04,17.2,9.7,7.3,22.1,162.59,2.5,64,12.25,9.4
8698,8697.07,16.5,9.5,5.2,13.9,198.51,2.5,52,12.25,9.4
8699,8698.01,18.3,10.8,4,15.2,153.09,2.5,62,12.25,9.4
8700,8699.04,20.1,11.1,5.3,17.1,200.72,2.5,72,12.25,9.4
8701,8700.04,23.1,11.4,2.9,19.1,150.37,2.6,70,12.25,9.4
8702,8700.97,22.9,25.5,5,18.4,135.29,2.5,63,12.25,9.4
8703,8702.29,30,3.8,4.9,18.4,122.46,2.5,55,12.25,9.4
8704,8703.54,22,0.2,4,26.9,92.19,2.5,52,12.25,9.4
8705,8703.96,17.8,7.6,6.7,20.9,239.72,2.5,58,12.25,9.4
8706,8705.05,17.9,14.1,5.2,19.9,210.32,2.5,58,12.25,9.4
8707,8706.03,17.7,14.4,6.9,22.4,198.93,2.5,49,12.25,9.4
8708,8706.86,23.8,30,9.2,18.4,171.11,2.5,70,12.25,9.4
8709,8708.01,87.2,44.9,10.7,15.6,347.32,2.6,66,12.25,9.4
8710,8708.72,66.8,40.3,7.9,10.9,221.05,2.6,66,12.25,9.4
8711,8709.96,44.4,10.1,3.7,8.7,142.75,2.9,62,12.25,9.4
8712,8710.95,22,9.5,6.2,9.8,220.3,2.9,62,12.25,9.4
8713,8712.01,21,10.3,5.4,9.5,189.75,2.9,55,12.25,9.4
8714,8712.99,23.7,9.9,4,14.2,92.91,2.9,54,12.25,9.4
8715,8714.06,20.5,12.1,5.5,24.1,96.15,2.9,47,12.25,9.4
8716,8715.1,13.5,7.2,6.1,14.1,218.65,2.9,47,12.25,9.4
8717,8715.98,12,8,5.8,18,162.16,2.9,44,12.25,9.4
8718,8716.98,18.5,9.8,5.4,19.3,59.21,2.9,50,12.25,9.4
8719,8718,17.8,24.7,4.4,12.5,91.05,2.9,62,12.25,9.4
8720,8719.02,17,28.4,5.8,12.5,70.4,2.9,65,12.25,9.4
8721,8720.5,27.5,1.7,2,15.6,129.24,2.9,62,12.25,9.4
8722,8720.64,17.5,13.5,4,15.9,88.27,2.9,55,12.25,9.4
8723,8722.01,93.3,42.6,13.3,15.9,418.8,2.9,47,12.25,9.4
8724,8722.95,83.5,45.1,11.6,13.4,430.83,2.9,51,12.25,9.4
8725,8724.01,46.6,1.8,7,10,267.26,2.9,62,12.25,9.4
8726,8725.02,22.2,0.5,6.5,13.7,290.64,2.9,58,12.25,9.4
8727,8725.91,18.1,6,6.5,14.4,269.93,2.9,59,12.25,9.4
8728,8726.96,46.9,45.1,11.9,19.6,464.57,2.9,55,12.25,9.4
8729,8727.97,107.8,45,12.3,20.6,522.59,2.9,51,12.25,9.4
8730,8728.94,100.8,42.1,12.6,18.1,401.53,2.9,70,12.25,9.4
8731,8729.95,106.3,45.1,11.7,16.9,476.61,2.9,65,12.25,9.4
8732,8730.97,109.1,45.1,10.1,15.9,453.05,2.9,70,12.25,9.4
8733,8732,108.1,45.1,10.5,20.7,434.24,2.9,68,12.25,9.4
8734,8732.93,89,45,11.8,21.7,502.05,2.9,50,12.25,9.4
8735,8733.96,102.2,45,12.1,20.9,534.1,2.9,50,12.25,9.4
8736,8734.95,108.7,44.8,12.9,20.4,543.65,2.9,55,12.25,9.4
8737,8735.94,107.1,45,12.2,19,521.57,2.9,66,12.25,9.4
8738,8736.99,107.8,45.1,11.6,21.2,519.76,2.9,70,12.25,9.4
8739,8737.94,87.1,45,12,21.7,521.6,2.9,55,12.25,9.4
8740,8739.02,88.9,45,10.9,22.1,482.48,2.9,55,12.25,9.4
8741,8739.96,72,44.9,10.9,21.9,445.56,2.9,51,12.25,9.4
8742,8740.97,70.8,45,11,22,466.01,2.9,54,12.25,9.4
8743,8741.98,71.5,45.1,11,21.9,462.42,2.9,53,12.25,9.4
8744,8742.91,72.8,45,11.2,21.4,485.45,2.9,55,12.25,9.4
8745,8743.95,97.8,45.1,11.5,21.3,508.65,2.9,54,12.25,9.4
8746,8744.93,100.5,45,12,21.1,545.98,2.9,55,12.25,9.4
8747,8745.93,104.7,45,12.6,19.9,562.16,2.9,58,12.25,9.4
8748,8746.9,105.2,44.9,12.6,19,537.48,2.9,61,12.25,9.4
8749,8747.92,75.8,45.1,10,21.8,424.66,2.9,53,12.25,9.4
8750,8748.96,56.4,45,9.7,22.1,383.93,2.9,47,12.25,9.4
8751,8749.91,70.8,44.9,11.2,19.1,414.22,2.9,47,12.25,9.4
8752,8750.94,104.4,45,12.4,21.5,531.16,2.9,54,12.25,9.4
8753,8751.89,92.4,45,12.6,18.3,562.65,2.9,55,12.25,9.4
8754,8753.09,82.2,45,10.2,16.8,413.49,2.9,55,12.25,9.4
8755,8754.06,36,9.8,3.4,14.3,140.13,2.9,55,12.25,9.4
8756,8754.89,21.1,9.9,4.4,15.6,248.97,3.2,47,12.25,9.4
8757,8755.95,17.1,9.4,4.5,18.3,193.03,3.2,47,12.25,9.4
8758,8756.93,16.5,11.6,4.5,17,159.07,3.2,55,12.25,9.4
8759,8757.76,17.4,23.3,4.5,21.8,46.91,3.2,77,12.25,9.4
8760,8759.03,50.4,19.5,5.9,15.5,155.54,3.2,70,12.25,9.4
8761,8759.91,24.2,14.3,5.2,14.2,149.15,3.2,55,12.25,9.4
8762,8760.89,20.7,14.3,4.7,13.3,102.83,3.2,70,12.25,9.4
8763,8761.86,21.9,14.4,6.4,14.1,147.36,3.2,53,12.25,9.4
8764,8762.7,17.9,23.6,7,17.2,17.59,3.2,60,12.25,9.4
8765,8764.21,46.3,15.4,9.6,17.2,-7.03,3.2,70,12.25,9.4
8766,8764.85,21,44.9,10.2,11.3,226.3,3.2,55,12.25,9.4
8767,8765.82,44.5,10.5,5,10.7,177.21,3.2,62,12.25,9.4
8768,8766.9,21.5,9.3,4.4,14.1,177.49,3.2,68,12.25,9.4
8769,8767.85,19.3,9.5,3.5,18.2,153.29,3.2,73,12.25,9.4
8770,8768.8,18.7,9.1,5.9,17.2,205.02,3.2,70,12.25,9.4
8771,8769.8,15.3,9.3,5.3,16.4,156.62,3.2,67,12.25,9.4
8772,8770.87,18.3,9,4.1,16.7,28.93,3.2,62,12.25,9.4
8773,8771.88,40.5,45,11.3,15.7,291.61,3.2,55,12.25,9.4
8774,8772.85,119.1,44.9,14.1,18.6,440.49,3.2,62,12.25,9.4
8775,8773.86,119.2,45,13.5,18.8,416.1,3.2,78,12.25,9.4
8776,8774.88,119.6,45,13.4,17.8,410.57,3.2,73,12.25,9.4
8777,8775.86,119.5,45.2,12.1,18.5,409.85,3.2,70,12.25,9.4
8778,8777.02,71.3,16.4,6.3,16.9,168.61,3.2,62,12.25,9.4
8779,8777.88,23.7,14,5.7,18.3,154.64,3.2,59,12.25,9.4
8780,8778.92,18.4,13.9,6.4,19.3,162.52,3.4,55,12.25,9.4
8781,8779.85,18.4,14.6,5.5,24,158.29,3.5,62,12.25,9.4
8782,8780.94,20.5,10.5,5.3,26.9,11.21,3.5,66,12.25,9.4
8783,8781.84,19.8,10.6,13.2,18.9,165.4,3.5,69,12.25,9.4
8784,8782.84,80.7,45.1,9.9,11.3,234.92,3.5,68,12.25,9.4
8785,8783.82,99.1,44.8,10.7,14.1,251.12,3.5,78,12.25,9.4
8786,8784.77,102.8,45,9.8,14.1,260.92,3.5,423,12.25,9.4
8787,8785.79,119.1,45,10.2,17.1,290.67,3.5,71,12.25,9.4
8788,8786.84,89.3,44.9,10.8,22.3,314.39,3.5,71,12.25,9.4
8789,8788,47.5,45,8.1,22.9,214.67,3.5,70,12.25,9.4
8790,8788.96,35.4,44.9,8.4,21.4,227.76,3.5,78,12.25,9.4
8791,8789.62,38.2,44.9,8.2,18.9,200.53,3.5,70,12.25,9.4
8792,8790.77,87.4,45,10.3,21.3,289.46,3.5,62,12.25,9.4
8793,8791.79,97.1,44.8,12.6,24.5,373.11,3.5,65,12.25,9.4
8794,8792.81,48.3,18.8,5.7,16.1,181.17,3.5,58,12.25,9.4
8795,8793.86,21.3,9.5,6,18.5,218.52,3.5,55,12.25,9.4
8796,8794.82,21.5,9.6,5.1,17.2,186.94,3.5,62,12.25,9.4
8797,8795.82,22.9,9.4,6.6,17.7,199.29,3.5,67,12.25,9.4
8798,8797.1,19.7,15.7,6.7,23.6,63.55,3.5,75,12.25,9.4
8799,8797.65,10.1,31.6,7.9,27.4,93.09,3.5,72,12.25,9.4
8800,8798.8,84,45.2,11.1,15.8,370.39,3.5,73,12.25,9.4
8801,8799.8,99.9,45,10.3,16.2,370.47,3.5,81,12.25,9.4
8802,8800.79,99.4,44.9,10.1,15,346.44,3.5,78,12.25,9.4
8803,8801.79,99.5,44.9,10.1,14.3,359.49,3.5,76,12.25,9.4
8804,8802.8,100.2,44.9,10.6,15.3,362.73,3.5,70,12.25,9.4
8805,8803.88,56.7,11.3,3.9,8.3,103.31,3.6,78,12.25,9.4
8806,8804.79,22.2,0.2,5.6,11.8,257.24,3.6,79,12.25,9.4
8807,8805.81,20.8,0.3,4.7,16.2,369.56,3.6,67,12.25,9.4
8808,8807.29,24.3,0,7,11.9,225.39,3.6,74,12.25,9.4
8809,8808.28,21.6,0.2,9.3,19.1,238.62,3.6,73,12.25,9.4
8810,8808.63,21.6,10,7.5,17.7,237.38,3.6,59,12.25,9.4
8811,8809.74,28.2,9.3,5,15,157.93,3.6,62,12.25,9.4
8812,8810.81,28.7,9.2,5.6,18.7,162.18,3.6,62,12.25,9.4
8813,8811.9,23.7,9.6,5.2,19.6,137.61,3.6,64,12.25,9.4
8814,8812.63,14,9.3,3.8,19.1,75.2,3.6,67,12.25,9.4
8815,8813.57,22.5,22.9,7,19.2,69.23,3.6,78,12.25,9.4
8816,8814.83,54.7,44.9,8.7,8.5,116.98,3.6,77,12.25,9.4
8817,8815.73,47.1,45,7.8,7.2,142.73,3.6,74,12.25,9.4
8818,8816.71,76.6,45.1,8.2,10.1,182.86,3.6,74,12.25,9.4
8819,8817.74,113.5,45.1,10.9,13.2,258.6,3.6,74,12.25,9.4
8820,8818.74,121.9,44.8,13.1,15.9,341.95,3.6,78,12.25,9.4
8821,8819.89,110.3,44.1,12.1,16,291.57,3.6,70,12.25,9.4
8822,8820.9,78.9,28.6,15.5,22.6,182.82,3.6,71,12.25,9.4
8823,8821.75,50.9,42.6,12,14.7,121.83,3.6,70,12.25,9.4
8824,8822.77,73.8,45,10.5,13.7,244.63,3.6,65,12.25,9.4
8825,8823.74,95.3,45,9.8,11.5,244.36,3.6,69,12.25,9.4
8826,8824.73,95.2,45,8.9,11.6,213.95,3.6,68,12.25,9.4
8827,8825.94,87.2,23,5.9,10,138.68,3.6,77,12.25,9.4
8828,8826.75,30.4,8.9,2.8,11.2,79.21,3.6,74,12.25,9.4
8829,8827.84,23.8,10,3.6,14.8,129.01,3.6,75,12.25,9.4
8830,8828.71,17.1,16.9,5,17.5,165.74,3.6,66,12.25,9.4
8831,8829.73,22.3,18.3,5.1,16.8,175.71,3.6,62,12.25,9.4
8832,8830.44,17.5,26.9,5.3,21.5,34.7,3.6,64,12.25,9.4
8833,8831.69,70.1,40.6,14.5,15.3,197.27,3.6,62,12.25,9.4
8834,8832.71,78.6,44.5,12.2,13,193.84,3.6,67,12.25,9.4
8835,8833.67,69.7,44.2,11.7,12.9,141.08,3.6,73,12.25,9.4
8836,8834.72,82.9,44.8,12.6,14.4,246.58,3.6,72,12.25,9.4
8837,8835.83,72.4,44.5,12.4,15.2,183.81,3.6,71,12.25,9.4
8838,8836.74,38.8,44.9,10.1,14.9,142.5,3.6,73,12.25,9.4
8839,8837.84,35.9,44.7,9.7,15,129.83,3.6,83,12.25,9.4
8840,8838.63,29.5,44.9,8.8,14.4,185.49,3.6,78,12.25,9.4
8841,8839.7,76.3,44.9,10.4,13.2,287.13,3.6,442,12.25,9.4
8842,8840.69,99.4,44.8,10.4,14.1,289.54,3.6,287,12.25,9.4
8843,8841.83,88.5,45,9.4,15.4,263.65,3.6,69,12.25,9.4
8844,8842.83,46.7,11,3.5,17.8,105.49,3.8,76,12.25,9.4
8845,8843.67,24.7,9.8,5.8,19.5,187.33,3.8,70,12.25,9.4
8846,8844.74,23.3,11.9,4.7,21.1,102.21,3.8,70,12.25,9.4
8847,8845.83,15.7,21.7,5,32.4,35.51,3.8,57,12.25,9.4
8848,8846.48,13.9,39.4,8.3,22.3,224.98,3.8,55,12.25,9.4
8849,8847.68,99.7,44.9,10.9,12.7,364.84,3.8,60,12.25,9.4
8850,8848.83,77.1,7.1,6.9,13.2,175.86,3.8,66,12.25,9.4
8851,8850.19,22.3,6.2,6.1,15.9,158.2,3.8,69,12.25,9.4
8852,8850.59,19.2,4.5,5.8,15.2,175.4,3.8,62,12.25,9.4
8853,8851.61,24.5,8.4,7.4,15.3,223.14,3.8,58,12.25,9.4
8854,8852.7,31.7,6.3,6.1,21.9,177.34,3.8,66,12.25,9.4
8855,8853.61,15.8,8.7,6.2,23.7,62.45,3.8,65,12.25,9.4
8856,8854.64,33.8,45,8.9,5.7,176,3.8,227,12.25,9.4
8857,8855.68,65,44.1,9.3,6.2,140.63,3.8,61,12.25,9.4
8858,8856.65,50.1,45,7.7,6.9,159.24,3.8,64,12.25,9.4
8859,8857.66,49.9,45,8.2,8.1,178.63,3.8,65,12.25,9.4
8860,8858.65,50,45.1,8.2,7.2,179.29,3.8,62,12.25,9.4
8861,8859.54,33.7,22.5,4.7,2.4,68.46,3.8,55,12.25,9.4
8862,8860.67,27.3,5,6,6.5,138.94,3.8,59,12.25,9.4
8863,8861.68,32.7,5.8,6.1,8.5,180.91,3.8,68,12.25,9.4
8864,8862.64,35.3,7.4,7,9,202.26,3.8,70,12.25,9.4
8865,8863.66,44.3,6.6,6.4,12.7,202.4,3.8,70,12.25,9.4
8866,8864.59,16.8,12.8,6.6,16.1,7.22,3.8,66,12.25,9.4
8867,8865.52,9.7,8.6,8.4,16.6,182.25,3.8,67,12.25,9.4
8868,8866.63,24.3,0.6,7.4,11.7,150.44,3.8,70,12.25,9.4
8869,8868.15,8.6,18.7,6.6,27.5,-45.71,3.8,66,12.25,9.4
8870,8868.5,5.4,20.6,7.1,29.6,-26.76,3.8,62,12.25,9.4
8871,8869.63,17.9,60.5,6.8,10.6,125.12,3.8,68,12.25,9.4
8872,8870.62,48.4,45.1,6.3,2.6,121.63,3.8,70,12.25,9.4
8873,8871.62,49.8,45,6.7,3.4,131.41,3.8,69,12.25,9.4
8874,8872.62,53.9,45,7.2,5,159.14,3.8,72,12.25,9.4
8875,8873.62,55.5,45.1,7.2,9.1,168.46,3.8,78,12.25,9.4
8876,8874.56,35.9,45.1,6.5,8.8,175.81,3.8,78,12.25,9.4
8877,8875.61,28.5,5.8,3.3,10.5,68.88,3.8,70,12.25,9.4
8878,8876.63,28.8,0.2,5.5,17.2,144.26,3.8,70,12.25,9.4
8879,8877.64,25.6,0.4,6,12.8,185.17,3.8,70,12.25,9.4
8880,8878.62,24.8,0.3,4.8,5.6,159.65,3.8,78,12.25,9.4
8881,8879.61,28.4,0.5,3.9,9.7,164.22,3.8,73,12.25,9.4
8882,8880.52,23.1,0.2,7.1,8.4,230.49,3.8,72,12.25,9.4
8883,8881.62,27.4,0.5,6.6,16.3,197.98,3.8,66,12.25,9.4
8884,8882.6,27.7,0.2,6.5,15.7,217.37,3.8,65,12.25,9.4
8885,8883.6,26.5,0.8,8.4,18.2,214.38,3.8,74,12.25,9.4
8886,8884.44,14.2,0.6,12.5,16.9,49.72,3.8,74,12.25,9.4
8887,8885.63,23.6,0.5,6.5,7.1,147.34,3.8,75,12.25,9.4
8888,8886.6,26.7,0.4,6.3,6.6,161.56,3.8,70,12.25,9.4
8889,8887.59,29.1,0.6,5,7.2,142.26,3.8,67,12.25,9.4
8890,8888.59,28.5,0.1,7.3,11.5,86.38,3.8,70,12.25,9.4
8891,8889.44,21.4,13.9,10,16.2,33.64,3.8,67,12.25,9.4
8892,8890.64,36.4,11.2,1.8,7.2,27.98,3.8,70,12.25,9.4
8893,8891.55,25.7,0.3,7.3,9.9,167.7,3.8,62,12.25,9.4
8894,8892.65,25.8,0.4,5.7,11.6,153.18,3.8,62,12.25,9.4
8895,8893.65,24.9,0.8,4.7,10.6,138.71,3.8,62,12.25,9.4
8896,8894.58,20.6,0.4,7.4,11.6,188.4,3.8,69,12.25,9.4
8897,8895.53,20.7,0.7,7.2,13.4,159.71,3.8,61,12.25,9.4
8898,8896.37,20.3,25,6.9,12.7,81.49,3.8,62,12.25,9.4
8899,8897.55,26.2,32.5,6.6,6.6,64.73,4,60,12.25,9.4
8900,8898.5,26.6,0,2,8.3,50.47,4.4,61,12.25,9.4
8901,8899.42,25.2,0.4,6.1,8.2,189.4,4.4,62,12.25,9.4
8902,8900.47,29.2,0.4,5.4,10.2,185.6,4.4,61,12.25,9.4
8903,8901.55,35.4,0.3,6,15.3,219.64,4.4,65,12.25,9.4
8904,8902.45,32,0.3,6.3,14,212.7,4.4,69,12.25,9.4
8905,8903.41,34.9,0.3,8.6,13.8,145.56,4.4,62,12.25,9.4
8906,8904.6,36.8,0.3,7.2,19.4,-57.49,4.4,74,12.25,9.4
8907,8905.37,19.3,0.4,5.5,23.9,192.58,4.4,70,12.25,9.4
8908,8906.34,17.7,0.3,7.7,25.7,278.45,4.4,70,12.25,9.4
8909,8907.41,30.4,0.7,7.3,21.7,222.17,4.4,78,12.25,9.4
8910,8908.56,44.6,7.8,12.4,28,200.23,4.4,74,12.25,9.4
8911,8909.43,33.7,45,7.1,1.3,75.21,4.4,70,12.25,9.4
8912,8910.45,48.7,45,8,2.9,123.68,4.4,70,12.25,9.4
8913,8911.46,49.7,45,8.1,3.6,113.96,4.4,78,12.25,9.4
8914,8912.46,49.7,45,8,3.6,117.67,4.4,78,12.25,9.4
8915,8913.45,49.7,44.9,8.9,5.8,104.92,4.4,76,12.25,9.4
8916,8914.96,24.5,45.7,4,7.9,118.22,4.4,75,12.25,9.4
8917,8915.36,20.5,11.3,4,8.5,101.45,4.4,75,12.25,9.4
8918,8916.46,25.6,0.6,4.9,15.6,219.62,4.4,75,12.25,9.4
8919,8917.45,26.1,0.5,5.7,17.5,232.01,4.4,81,12.25,9.4
8920,8918.49,24.9,0.6,5.9,20,226.72,4.4,76,12.25,9.4
8921,8919.52,16.4,5.5,5,22.1,139.8,4.4,77,12.25,9.4
8922,8920.44,9,19.8,4.8,31.2,53.36,4.4,81,12.25,9.4
8923,8921.2,8.1,31.4,5.6,30.4,49.8,4.4,70,12.25,9.4
8924,8922.42,42.3,45,7.6,8.6,145.23,4.4,78,12.25,9.4
8925,8923.41,49.8,45,8.4,8.6,156.22,4.4,70,12.25,9.4
8926,8924.41,49.8,44.9,9.7,8.2,129.02,4.4,70,12.25,9.4
8927,8925.54,45.5,43.5,9.8,7.1,91.18,4.4,71,12.25,9.4
8928,8926.48,30.3,45,7.1,4,51.31,4.4,71,12.25,9.4
8929,8927.41,28.5,45,6.8,3.8,50.4,4.4,76,12.25,9.4
8930,8928.37,35,45,6.5,3.5,70.2,4.4,78,12.25,9.4
8931,8929.37,51.1,44.9,7.2,5.2,96.33,4.4,78,12.25,9.4
8932,8930.39,58.7,44.9,8,8.3,135.26,4.4,78,12.25,9.4
8933,8931.31,34.9,14.5,3.4,2.6,72.69,4.4,70,12.25,9.4
8934,8932.4,25,0.3,4.5,4.2,144.38,4.4,70,12.25,9.4
8935,8933.41,27.5,0.1,4.3,9.4,151.01,4.4,78,12.25,9.4
8936,8934.27,21.8,0.1,7.9,5.2,233.67,4.4,76,12.25,9.4
8937,8935.38,26.1,0.5,6.7,7.4,197.3,4.4,74,12.25,9.4
8938,8936.4,20,0.8,6.7,13.5,105.36,4.4,68,12.25,9.4
8939,8937.39,21.1,0.3,3.7,7.8,155.4,4.4,68,12.25,9.4
8940,8938.36,28,0.4,5.5,6.9,114.71,4.4,69,12.25,9.4
8941,8939.38,28.9,0,5.2,6.3,163.9,4.4,66,12.25,9.4
8942,8940.38,24.7,0.2,10.1,7.2,204.97,4.4,63,12.25,9.4
8943,8941.42,23.9,0.5,8.3,12.2,192.41,4.4,64,12.25,9.4
8944,8942.3,19.8,0.5,9.2,8,208.07,4.4,64,12.25,9.4
8945,8943.31,24.2,0.5,9.3,10.7,175.39,4.4,64,12.25,9.4
8946,8944.32,19.6,4.7,8.9,20.3,67.96,4.4,72,12.25,9.4
8947,8945.33,33.1,45,7.7,9.6,199.23,4.4,76,12.25,9.4
8948,8946.34,58.3,44.9,7.7,9.8,195.46,4.4,77,12.25,9.4
8949,8947.34,58.1,44.7,8.6,9.5,213.47,4.4,76,12.25,9.4
8950,8948.33,59.1,44.9,7.9,8.5,208.6,4.4,383,12.25,9.4
8951,8949.34,59.3,45,7.9,7.6,204.78,4.4,77,12.25,9.4
8952,8950.34,59.5,45,7.6,7.5,207.42,4.4,60,12.25,9.4
8953,8951.39,57.1,45,7.4,9.6,200.95,4.4,63,12.25,9.4
8954,8952.31,49.2,45.1,7.6,11,214.13,4.4,64,12.25,9.4
8955,8953.84,59.5,45.8,7.3,10.5,270.65,4.4,61,12.25,9.4
8956,8954.31,63.1,45,8.7,11.4,250.47,4.4,70,12.25,9.4
8957,8955.31,71.2,45,9.1,12.5,305.79,4.4,55,12.25,9.4
8958,8956.32,72.5,44.9,9.5,12.8,292.5,4.4,60,12.25,9.4
8959,8957.33,72.9,45,9.6,14.8,309.05,4.4,68,12.25,9.4
8960,8958.31,71.4,45,9.6,12.9,315.58,4.4,78,12.25,9.4
8961,8959.39,34.4,6.1,3.9,4.6,106.84,4.4,78,12.25,9.4
8962,8960.31,16.7,0.9,4.9,3.5,131.64,4.4,76,12.25,9.4
8963,8961.29,18.1,3.8,5.5,4.4,182.09,4.4,73,12.25,9.4
8964,8962.31,18.9,4.8,5,4.2,154.84,4.4,77,12.25,9.4
8965,8963.31,19.5,4.6,4.9,5,157.24,4.4,70,12.25,9.4
8966,8964.4,15.3,6.2,6.6,12.1,54.41,4.4,70,12.25,9.4
8967,8965.34,13.7,1,5.9,10.6,186.43,4.4,65,12.25,9.4
8968,8966.44,19.9,0.6,7,12.8,84.59,4.4,61,12.25,9.4
8969,8967.06,10.8,6.4,7.5,15.2,81.91,4.4,59,12.25,9.4
