Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),Gamma (API)
9265,8901.9,704.9481196211998,1558.5243586404854,84721.2895956262,46596.70927759441,86057.29083855331,4254.218365500483,2.5497264644752664,0.006585599695341866,2.4073741345112354,38.709539280629336,54.29308423982848,73.6
9266,8902.6,705.0035531448,1581.9633883162287,91018.64545945509,50060.2550027003,93359.4605041162,4628.486862239791,2.5501844129333455,0.006292042991445186,2.144937379239424,37.28978764390819,51.904450046615715,69.8
9267,8903.2,705.0510675935999,1571.7937008550286,84905.19375256168,46697.85656390893,86720.31787637026,4294.000718238327,2.549740622597909,0.006576523975699554,2.3989850499038896,38.66660178845325,54.220308732971695,72.3
9268,8903.9,705.1065011172,1572.578934515057,85393.85769299814,46966.62173114898,87245.93048534922,4320.442278039673,2.5497780005100252,0.006552563775624945,2.376922646272089,38.552960048843936,54.02785783320525,74.9
9269,8904.5,705.1540155659999,1579.1046748324286,83528.49308703085,45940.67119786697,85570.01171369669,4240.831375648635,2.5496333995894034,0.006645256673459222,2.4629594025977246,38.99031383129033,54.76980580066434,77.5
9270,8905.2,705.2094490896,1575.8710091110286,85575.88987402967,47066.73943071633,87547.91011091789,4337.142919614499,2.54979183483529,0.006543695618403864,2.368788150373038,38.51079353625869,53.95650928282198,77.5
9271,8905.8,705.2569635383998,1576.1684551133997,89097.22542767347,49003.473985220415,91159.85257101772,4516.243513490013,2.5500503094132694,0.006378006786365844,2.2198944065663664,37.712286389984705,52.611473437056134,77.5
9272,8906.5,705.312397062,1572.9247921298572,87155.21210956005,47935.36666025803,89050.67302578395,4410.000397735196,2.5499098734269094,0.0064680298545451344,2.300066741690894,38.14867485813937,53.34511193545565,77.5
9273,8907.1,705.3599115107999,1598.9951799365142,91943.35741307387,50568.846577190634,94957.00680594183,4717.408099331802,2.550247313909579,0.0062517218528341315,2.1103143018587343,37.08962276351466,51.5706023187053,75.2
9274,8907.7,705.4074259596,1576.7887888553144,85595.39232008393,47077.46577604617,87594.03680295037,4339.914682476725,2.5497933141531925,0.006542747337697343,2.3679193190343253,38.50628124836439,53.948876110378585,72.8
9275,8908.4,705.4628594831998,1552.6708425174857,100850.48759708805,55467.76817839844,102166.56000019795,5046.916651437867,2.5508043171532173,0.005894668491527307,1.818432054359804,35.258605097860055,48.54954849477034,70.5
9276,8909.0,705.5103739319999,1596.9562419484287,84766.5559530942,46621.60577420181,87466.54379305994,4344.218599489582,2.5497299540320566,0.006583362799963827,2.4053048290672,38.698961961263116,54.275153428346606,68.2
9277,8909.7,705.5658074556,1572.9282709698857,85137.22574029776,46825.47415716377,86979.75142215208,4307.445286243886,2.5497584144893826,0.006565118917062346,2.3884679641505686,38.61256003002678,54.12876028031202,65.9
9278,8910.3,705.6133219043999,1552.9012830358283,99200.05730735075,54560.03151904292,100497.98298984693,4964.632667369153,2.5507073065506747,0.005956854775208711,1.8673847078956236,35.585347816221514,49.08435157735867,67.8
9279,8910.9,705.6608363531999,1598.276384040343,82782.35107015596,45530.29308858578,85460.06099364789,4245.237783171048,2.5495740705778416,0.006683288091127326,2.4987964661948294,39.16799543287705,55.07223544763439,69.8
9280,8911.6,705.7162698768,1557.303053729657,87571.1917966596,48164.15548816278,88877.77388654681,4392.984834923937,2.5499403833214336,0.006448472229850389,2.282502796314665,38.054387596393184,53.1863086870107,69.8
9281,8912.2,705.7637843256,1560.6496646856,100600.1933708802,55330.10635398411,102242.80494861367,5055.67153092274,2.5507897727255107,0.0059039918426214396,1.8257212416379185,35.30781142307675,48.62996964374879,69.8
9282,8912.9,705.8192178491998,1603.0634979084857,94542.43444154086,51998.33894284748,97785.35894659233,4860.297057763065,2.550418697298557,0.006141860706053281,2.0177015615264806,36.53762141158113,50.653629838392725,69.8
9283,8913.5,705.866732298,1522.8329973501427,97251.86311232227,53488.52471177725,97258.97217915925,4786.565149405545,2.5505893394094,0.006032474737563933,1.9279755580036497,35.97810923609,49.72966987112121,69.8
9284,8914.2,705.9221658216,1558.998541733743,100728.51174016933,55400.68145709314,102295.45022410042,5057.243577233314,2.5507972366049407,0.005899207304525259,1.8219783880243294,35.28256953667639,48.58870992698303,69.8
9285,8914.8,705.9696802703999,1611.7516221996857,85841.5816428494,47212.869903567174,89095.08504062552,4432.970423254465,2.5498119410406326,0.006530807025235675,2.3569958897848142,38.44940857576911,53.85269974755194,69.8
9286,8915.4,706.0171947191999,1531.3311736606286,95646.83285347359,52605.758069410476,95997.41566122315,4729.544593526399,2.550489207730761,0.006096661711050976,1.9803267852370072,36.30764501379651,50.27318824847224,69.8
9287,8916.1,706.0726282428,1609.0153477235142,91343.91603954951,50239.15382175224,94696.68431166236,4710.139120310563,2.550206657317212,0.006277783771017797,2.1326542668656865,37.219148052496855,51.7865512163688,69.8
9288,8916.7,706.1201426915999,1602.3946883230285,81514.49943654088,44832.974690097486,84277.17980956058,4188.553520873363,2.5494712256277157,0.006749214341207882,2.561662508016831,39.47361871455218,55.5937942027112,69.8
9289,8917.4,706.1755762152,1563.5607721109143,101493.18332858011,55821.250830719066,103258.54651878656,5107.730581176227,2.550841394728126,0.005870900815303677,1.7999297343009806,35.132812273320695,48.34414728417315,71.7
9290,8918.0,706.2230906639999,828.049727136857,372068.77303853456,204637.82517119404,242448.38401508422,10610.905086005609,2.555991269830916,0.0025696988263360127,0.22231466591667978,9.408315757610174,11.39556211649284,73.6
9291,8918.7,706.2785241876,922.3293563568858,225340.96470854816,123937.53058970149,159780.36358281906,7139.633598853148,2.5544853639078866,0.0035350231359701756,0.49840060821135695,19.33829708621319,24.55844446542032,72.3
